Series,Observation Date,Observation Value
Sales of Cars and Jeeps,30-Sep-23,7859
Sales of Cars and Jeeps,31-Aug-23,7283
Sales of Cars and Jeeps,31-Jul-23,4752
Sales of Cars and Jeeps,30-Jun-23,5764
Sales of Cars and Jeeps,31-May-23,5198
Sales of Cars and Jeeps,30-Apr-23,4257
Sales of Cars and Jeeps,31-Mar-23,8837
Sales of Cars and Jeeps,28-Feb-23,5878
Sales of Cars and Jeeps,31-Jan-23,10270
Sales of Cars and Jeeps,31-Dec-22,16263
Sales of Cars and Jeeps,30-Nov-22,17787
Sales of Cars and Jeeps,31-Oct-22,13122
Sales of Cars and Jeeps,30-Sep-22,10839
Sales of Cars and Jeeps,31-Aug-22,11457
Sales of Cars and Jeeps,31-Jul-22,11329
Sales of Cars and Jeeps,30-Jun-22,26896
Sales of Cars and Jeeps,31-May-22,21956
Sales of Cars and Jeeps,30-Apr-22,21307
Sales of Cars and Jeeps,31-Mar-22,25492
Sales of Cars and Jeeps,28-Feb-22,20315
Sales of Cars and Jeeps,31-Jan-22,18818
Sales of Cars and Jeeps,31-Dec-21,26068
Sales of Cars and Jeeps,30-Nov-21,17197
Sales of Cars and Jeeps,31-Oct-21,19311
Sales of Cars and Jeeps,30-Sep-21,21013
Sales of Cars and Jeeps,31-Aug-21,20268
Sales of Cars and Jeeps,31-Jul-21,23147
Sales of Cars and Jeeps,30-Jun-21,13076
Sales of Cars and Jeeps,31-May-21,14672
Sales of Cars and Jeeps,30-Apr-21,16203
Sales of Cars and Jeeps,31-Mar-21,19520
Sales of Cars and Jeeps,28-Feb-21,14994
Sales of Cars and Jeeps,31-Jan-21,16258
Sales of Cars and Jeeps,31-Dec-20,12636
Sales of Cars and Jeeps,30-Nov-20,13334
Sales of Cars and Jeeps,31-Oct-20,13689
Sales of Cars and Jeeps,30-Sep-20,13217
Sales of Cars and Jeeps,31-Aug-20,10920
Sales of Cars and Jeeps,31-Jul-20,11012
Sales of Cars and Jeeps,30-Jun-20,8005
Sales of Cars and Jeeps,31-May-20,3949
Sales of Cars and Jeeps,30-Apr-20,0
Sales of Cars and Jeeps,31-Mar-20,6704
Sales of Cars and Jeeps,29-Feb-20,11413
Sales of Cars and Jeeps,31-Jan-20,11004
Sales of Cars and Jeeps,31-Dec-19,10355
Sales of Cars and Jeeps,30-Nov-19,9221
Sales of Cars and Jeeps,31-Oct-19,10432
Sales of Cars and Jeeps,30-Sep-19,11327
Sales of Cars and Jeeps,31-Aug-19,9780
Sales of Cars and Jeeps,31-Jul-19,11642
Sales of Cars and Jeeps,30-Jun-19,16159
Sales of Cars and Jeeps,31-May-19,16496
Sales of Cars and Jeeps,30-Apr-19,18084
Sales of Cars and Jeeps,31-Mar-19,20675
Sales of Cars and Jeeps,28-Feb-19,17986
Sales of Cars and Jeeps,31-Jan-19,20741
Sales of Cars and Jeeps,31-Dec-18,17664
Sales of Cars and Jeeps,30-Nov-18,16156
Sales of Cars and Jeeps,31-Oct-18,22656
Sales of Cars and Jeeps,30-Sep-18,17893
Sales of Cars and Jeeps,31-Aug-18,16695
Sales of Cars and Jeeps,31-Jul-18,20149
Sales of Cars and Jeeps,30-Jun-18,17339
Sales of Cars and Jeeps,31-May-18,19959
Sales of Cars and Jeeps,30-Apr-18,23335
Sales of Cars and Jeeps,31-Mar-18,20829
Sales of Cars and Jeeps,28-Feb-18,20702
Sales of Cars and Jeeps,31-Jan-18,21562
Sales of Cars and Jeeps,31-Dec-17,17677
Sales of Cars and Jeeps,30-Nov-17,19294
Sales of Cars and Jeeps,31-Oct-17,21396
Sales of Cars and Jeeps,30-Sep-17,17119
Sales of Cars and Jeeps,31-Aug-17,20144
Sales of Cars and Jeeps,31-Jul-17,17771
Sales of Cars and Jeeps,30-Jun-17,14216
Sales of Cars and Jeeps,31-May-17,19063
Sales of Cars and Jeeps,30-Apr-17,17276
Sales of Cars and Jeeps,31-Mar-17,19036
Sales of Cars and Jeeps,28-Feb-17,18023
Sales of Cars and Jeeps,31-Jan-17,18923
Sales of Cars and Jeeps,31-Dec-16,14606
Sales of Cars and Jeeps,30-Nov-16,16382
Sales of Cars and Jeeps,31-Oct-16,14515
Sales of Cars and Jeeps,30-Sep-16,14440
Sales of Cars and Jeeps,31-Aug-16,16048
Sales of Cars and Jeeps,31-Jul-16,12647
Sales of Cars and Jeeps,30-Jun-16,13976
Sales of Cars and Jeeps,31-May-16,15615
Sales of Cars and Jeeps,30-Apr-16,15647
Sales of Cars and Jeeps,31-Mar-16,15778
Sales of Cars and Jeeps,29-Feb-16,14467
Sales of Cars and Jeeps,31-Jan-16,18530
Sales of Cars and Jeeps,31-Dec-15,14460
Sales of Cars and Jeeps,30-Nov-15,16280
Sales of Cars and Jeeps,31-Oct-15,16313
Sales of Cars and Jeeps,30-Sep-15,15564
Sales of Cars and Jeeps,31-Aug-15,16743
Sales of Cars and Jeeps,31-Jul-15,13404
Sales of Cars and Jeeps,30-Jun-15,15674
Sales of Cars and Jeeps,31-May-15,16258
Sales of Cars and Jeeps,30-Apr-15,16028
Sales of Cars and Jeeps,31-Mar-15,17408
Sales of Cars and Jeeps,28-Feb-15,14720
Sales of Cars and Jeeps,31-Jan-15,16404
Sales of Cars and Jeeps,31-Dec-14,9785
Sales of Cars and Jeeps,30-Nov-14,10675
Sales of Cars and Jeeps,31-Oct-14,11600
Sales of Cars and Jeeps,30-Sep-14,11532
Sales of Cars and Jeeps,31-Aug-14,11141
Sales of Cars and Jeeps,31-Jul-14,6358
Sales of Cars and Jeeps,30-Jun-14,10982
Sales of Cars and Jeeps,31-May-14,11147
Sales of Cars and Jeeps,30-Apr-14,11106
Sales of Cars and Jeeps,31-Mar-14,11078
Sales of Cars and Jeeps,28-Feb-14,11650
