Date,Closing_Price,Open,High,Low,Vol.
3/1/2000,51.89,51.88,51.89,51.88,0
4/1/2000,51.85,51.7,51.85,51.7,0
5/1/2000,51.85,51.8,51.85,51.8,0
6/1/2000,51.875,51.75,51.875,51.75,0
7/1/2000,51.895,51.89,51.895,51.89,0
10/1/2000,51.85,51.7,51.85,51.7,0
11/1/2000,51.898,51.895,51.898,51.895,0
12/1/2000,51.892,51.885,51.892,51.885,0
13/01/00,51.85,51.7,51.85,51.7,0
14/01/00,51.898,51.895,51.898,51.895,0
17/01/00,51.94,51.88,51.94,51.88,0
18/01/00,51.925,51.85,51.925,51.85,0
19/01/00,51.875,51.75,51.875,51.75,0
20/01/00,51.85,51.7,51.85,51.7,0
21/01/00,51.85,51.7,51.85,51.7,0
24/01/00,51.875,51.75,51.875,51.75,0
25/01/00,51.85,51.7,51.85,51.7,0
26/01/00,51.875,51.75,51.875,51.75,0
27/01/00,51.85,51.7,51.85,51.7,0
28/01/00,51.892,51.885,51.892,51.885,0
31/01/00,51.885,51.86,51.885,51.86,0
1/2/2000,51.925,51.85,51.925,51.85,0
2/2/2000,51.895,51.89,51.895,51.89,0
3/2/2000,51.895,51.88,51.895,51.88,0
4/2/2000,51.895,51.89,51.895,51.89,0
7/2/2000,51.875,51.75,51.875,51.75,0
8/2/2000,52,51.85,52,51.85,0
9/2/2000,51.9,51.7,51.9,51.7,0
10/2/2000,51.895,51.89,51.895,51.89,0
11/2/2000,51.925,51.75,51.925,51.75,0
14/02/00,51.88,51.87,51.88,51.87,0
15/02/00,51.895,51.89,51.895,51.89,0
16/02/00,51.895,51.89,51.895,51.89,0
17/02/00,51.89,51.88,51.89,51.88,0
18/02/00,51.89,51.885,51.89,51.885,0
21/02/00,51.895,51.89,51.895,51.89,0
22/02/00,51.895,51.89,51.895,51.89,0
23/02/00,52.075,51.65,52.075,51.65,0
24/02/00,51.885,51.88,51.885,51.88,0
25/02/00,51.975,51.75,51.975,51.75,0
28/02/00,52,51.75,52,51.75,0
29/02/00,51.975,51.7,51.975,51.7,0
1/3/2000,52,51.75,52,51.75,0
2/3/2000,51.85,51.6,51.85,51.6,0
3/3/2000,51.875,51.65,51.875,51.65,0
